atlas_block,priority,state
40073G7CE,yes,New York
43076B7SE,no,New York
40073G7CW,no,New York
43073H7NE,no,New York
43076B7SW,no,New York
41073D6SE,no,New York
44075A5SW,no,New York
44074D2SE,no,New York
44074D2SW,no,New York
41073D6SW,no,New York
43076B2SE,no,New York
42073B4NW,yes,New York
43073H7NW,yes,New York
42077A2SW,no,New York
43079C1SW,no,New York
43074C3SE,no,New York
44075G3NE,no,New York
43079C1SE,no,New York
42077A2SE,no,New York
43074C3SW,no,New York
43077A1CW,no,New York
42078E4NW,yes,New York
40072G5CE,yes,New York
43077A1CE,yes,New York
42078E4NE,no,New York
40072G5CW,no,New York
42078F5SE,no,New York
41072B1NE,no,New York
42075D4NE,no,New York
42078F5SW,no,New York
42075D4NW,yes,New York
40073E3NW,no,New York
42078D5NW,yes,New York
44073B6NW,yes,New York
42078D5NE,no,New York
40073E3NE,no,New York
44073B6NE,no,New York
41074G6CW,no,New York
44074H3CW,no,New York
44073G7NE,no,New York
42076A1NE,no,New York
43073D3NE,no,New York
42078C1NW,yes,New York
44074H3CE,yes,New York
41078H2NE,no,New York
43073D3NW,yes,New York
44073G7NW,yes,New York
42076A1NW,yes,New York
41074D4CE,yes,New York
43078B3CE,yes,New York
42079C1CE,yes,New York
42076A8NE,no,New York
43078B3CW,no,New York
42079C1CW,no,New York
42076A8NW,yes,New York
42076G4CE,yes,New York
42076G5SE,no,New York
40074E1SW,no,New York
42076G4CW,no,New York
41074G6CE,yes,New York
43076B3SW,no,New York
40073F8SE,no,New York
43078D2SE,no,New York
42073H4CE,yes,New York
44074G3CW,no,New York
43073B5SW,no,New York
42078C5SE,no,New York
44074G3CE,yes,New York
42073H4CW,no,New York
43073B5SE,no,New York
42078C5SW,no,New York
42073B4SW,no,New York
43076D5CW,no,New York
43076B6CE,yes,New York
44074F1CE,yes,New York
44075F1NE,no,New York
43076B6CW,no,New York
43076D5CE,yes,New York
44075F1NW,yes,New York
43074D8NW,yes,New York
43078C7SW,no,New York
43074D8NE,no,New York
42078H7CE,yes,New York
42078H7CW,no,New York
42078G5NW,yes,New York
42074E8SE,no,New York
43073C4CE,yes,New York
41074C2CW,no,New York
42078G5NE,no,New York
41071C8CE,no,New York
42074E8SW,no,New York
43073C4CW,no,New York
41074H3CW,no,New York
42078B1NW,yes,New York
44075A1SE,no,New York
41074H3CE,yes,New York
42078B1NE,no,New York
44075A1SW,no,New York
40073E5CW,no,New York
42077D5CE,yes,New York
44075C5CW,no,New York
42077F3CE,yes,New York
42078D4CW,no,New York
44073G6CW,no,New York
44074H5SE,no,New York
42077D5CW,no,New York
40073E5CE,no,New York
44075C5CE,yes,New York
42078D4CE,yes,New York
44073G6CE,yes,New York
42077F3CW,no,New York
44074H5SW,no,New York
41073C7CE,yes,New York
41073G8NE,no,New York
43073H8CW,no,New York
41073C7CW,no,New York
41074C2CE,yes,New York
43073H8CE,yes,New York
41073H6SE,no,New York
43078C5CW,no,New York
43075H2NW,yes,New York
42076A3CW,no,New York
43078C5CE,yes,New York
43075H2NE,no,New York
42076A3CE,yes,New York
42076A8SW,no,New York
43076C5NE,no,New York
42076D6CE,yes,New York
42076A8SE,no,New York
42076D6CW,no,New York
43076A4CE,yes,New York
42074F5NW,yes,New York
40072H7NW,yes,New York
43076A4CW,no,New York
42074F5NE,no,New York
40072H7NE,no,New York
43076B2NE,no,New York
42077G6SE,no,New York
41074F7CW,no,New York
41073H8SE,no,New York
43076B2NW,yes,New York
42077G6SW,no,New York
41074F7CE,yes,New York
41074E8NW,yes,New York
41074E8NW,no,New York
41073H8SW,no,New York
42075B5CW,no,New York
43073D8CW,no,New York
44073F4CE,no,New York
42075B5CE,yes,New York
43073D8CE,yes,New York
44073F4CW,no,New York
41074A1NW,yes,New York
42077H6SW,no,New York
42077H6SE,no,New York
44075G1NW,yes,New York
44075G3SW,no,New York
44075G1NE,no,New York
44075G3SE,no,New York
42076G7CE,yes,New York
41074H8SE,no,New York
42075F8CE,yes,New York
43075G2NW,yes,New York
43075A5SE,no,New York
42076G7CW,no,New York
41074H8SW,no,New York
43075G2NE,no,New York
42075F8CW,no,New York
42079F1SE,no,New York
41074B3CW,no,New York
44075F3SE,no,New York
41074A1NE,no,New York
42079F1SW,no,New York
44075F3SW,no,New York
43078A6CE,yes,New York
42073F8NE,no,New York
42077B2CE,yes,New York
43076F1CW,no,New York
44074H5NW,yes,New York
44073A7CW,no,New York
43078A6CW,no,New York
43076F1CE,yes,New York
42077B2CW,no,New York
